date,attraction,city,tourists,type
2012_09,新北市立黃金博物館,新北市,152238,Outdoor
2012_09,國立自然科學博物館,臺中市,210685,Indoor
2012_09,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_09,臺中國家歌劇院,臺中市,0,Indoor
2012_09,日月潭環潭區,南投縣,368433,Outdoor
2012_09,清境農場,南投縣,78117,Outdoor
2012_09,溪頭自然教育園區,南投縣,129458,Outdoor
2012_09,蓮池潭,高雄市,66000,Outdoor
2012_09,國立科學工藝博物館,高雄市,99339,Indoor
2012_09,高雄市立美術館,高雄市,69003,Indoor
2012_09,旗津風景區,高雄市,445254,Outdoor
2012_09,墾丁國家森林遊樂區,屏東縣,13735,Outdoor
2012_09,國立海洋生物博物館,屏東縣,102565,Indoor
2012_09,墾丁海水浴場,屏東縣,24239,Outdoor
2012_09,駁二藝術特區,高雄市,94425,Outdoor
2012_10,陽明山遊客中心,臺北市,11515,Indoor
2012_10,陽明公園,臺北市,36000,Outdoor
2012_10,擎天崗,臺北市,0,Outdoor
2012_10,國立故宮博物院,臺北市,345925,Indoor
2012_10,淡水漁人碼頭,新北市,322850,Outdoor
2012_10,新北市立黃金博物館,新北市,157793,Outdoor
2012_10,國立自然科學博物館,臺中市,218440,Indoor
2012_10,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_10,臺中國家歌劇院,臺中市,0,Indoor
2012_10,日月潭環潭區,南投縣,405769,Outdoor
2012_10,清境農場,南投縣,107724,Outdoor
2012_10,溪頭自然教育園區,南投縣,140280,Outdoor
2012_10,蓮池潭,高雄市,1550000,Outdoor
2012_10,國立科學工藝博物館,高雄市,137487,Indoor
2012_10,高雄市立美術館,高雄市,79925,Indoor
2012_10,旗津風景區,高雄市,451999,Outdoor
2012_10,墾丁國家森林遊樂區,屏東縣,16236,Outdoor
2012_10,國立海洋生物博物館,屏東縣,106725,Indoor
2012_10,墾丁海水浴場,屏東縣,23101,Outdoor
2012_10,駁二藝術特區,高雄市,405490,Outdoor
2012_11,陽明山遊客中心,臺北市,6896,Indoor
2012_11,陽明公園,臺北市,35000,Outdoor
2012_11,擎天崗,臺北市,0,Outdoor
2012_11,國立故宮博物院,臺北市,370956,Indoor
2012_11,淡水漁人碼頭,新北市,256398,Outdoor
2012_11,新北市立黃金博物館,新北市,141419,Outdoor
2012_11,國立自然科學博物館,臺中市,231326,Indoor
2012_11,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_11,臺中國家歌劇院,臺中市,0,Indoor
2012_11,日月潭環潭區,南投縣,383647,Outdoor
2012_11,清境農場,南投縣,90899,Outdoor
2012_11,溪頭自然教育園區,南投縣,110591,Outdoor
2012_11,蓮池潭,高雄市,68800,Outdoor
2012_11,國立科學工藝博物館,高雄市,89260,Indoor
2012_11,高雄市立美術館,高雄市,89247,Indoor
2012_11,旗津風景區,高雄市,384982,Outdoor
2012_11,墾丁國家森林遊樂區,屏東縣,14489,Outdoor
2012_11,國立海洋生物博物館,屏東縣,81828,Indoor
2012_11,墾丁海水浴場,屏東縣,22396,Outdoor
2012_11,駁二藝術特區,高雄市,120018,Outdoor
2012_12,陽明山遊客中心,臺北市,9631,Indoor
2012_12,陽明公園,臺北市,33000,Outdoor
2012_12,擎天崗,臺北市,0,Outdoor
2012_12,國立故宮博物院,臺北市,371710,Indoor
2012_12,淡水漁人碼頭,新北市,257840,Outdoor
2012_12,新北市立黃金博物館,新北市,146568,Outdoor
2012_12,國立自然科學博物館,臺中市,311734,Indoor
2012_12,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_12,臺中國家歌劇院,臺中市,0,Indoor
2012_12,日月潭環潭區,南投縣,381721,Outdoor
2012_12,清境農場,南投縣,103557,Outdoor
2012_12,溪頭自然教育園區,南投縣,102674,Outdoor
2012_12,蓮池潭,高雄市,96184,Outdoor
2012_12,國立科學工藝博物館,高雄市,147419,Indoor
2012_12,高雄市立美術館,高雄市,99857,Indoor
2012_12,旗津風景區,高雄市,447474,Outdoor
2012_12,墾丁國家森林遊樂區,屏東縣,14671,Outdoor
2012_12,國立海洋生物博物館,屏東縣,83013,Indoor
2012_12,墾丁海水浴場,屏東縣,117633,Outdoor
2012_12,駁二藝術特區,高雄市,234827,Outdoor
